county,precinct,candidate,measure,value
Adair,4SE ORIENT,Warren,expression_1,9
Adair,4SE ORIENT,Warren,expression_2,9
Adair,4SE ORIENT,Warren,sde,0.2353
Adair,4SE ORIENT,Yang,expression_1,0
Adair,4SE ORIENT,Yang,expression_2,0
Adair,4SE ORIENT,Yang,sde,0
Adair,5GF GREENFIELD,Bennet,expression_1,0
Adair,5GF GREENFIELD,Bennet,expression_2,0
Adair,5GF GREENFIELD,Bennet,sde,0
Adair,5GF GREENFIELD,Biden,expression_1,8
Adair,5GF GREENFIELD,Biden,expression_2,0
Adair,5GF GREENFIELD,Biden,sde,0
Adair,5GF GREENFIELD,Bloomberg,expression_1,0
Adair,5GF GREENFIELD,Bloomberg,expression_2,0
Adair,5GF GREENFIELD,Bloomberg,sde,0
Adair,5GF GREENFIELD,Buttigieg,expression_1,10
Adair,5GF GREENFIELD,Buttigieg,expression_2,12
Adair,5GF GREENFIELD,Buttigieg,sde,0.15690000000000004
Adair,5GF GREENFIELD,Delaney,expression_1,0
Adair,5GF GREENFIELD,Delaney,expression_2,0
Adair,5GF GREENFIELD,Delaney,sde,0
Adair,5GF GREENFIELD,Gabbard,expression_1,0
Adair,5GF GREENFIELD,Gabbard,expression_2,0
Adair,5GF GREENFIELD,Gabbard,sde,0
Adair,5GF GREENFIELD,Klobuchar,expression_1,26
Adair,5GF GREENFIELD,Klobuchar,expression_2,32
Adair,5GF GREENFIELD,Klobuchar,sde,0.3922
Adair,5GF GREENFIELD,Other,expression_1,0
Adair,5GF GREENFIELD,Other,expression_2,0
Adair,5GF GREENFIELD,Other,sde,0
Adair,5GF GREENFIELD,Patrick,expression_1,0
Adair,5GF GREENFIELD,Patrick,expression_2,0
Adair,5GF GREENFIELD,Patrick,sde,0
Adair,5GF GREENFIELD,Sanders,expression_1,16
Adair,5GF GREENFIELD,Sanders,expression_2,21
Adair,5GF GREENFIELD,Sanders,sde,0.3137
Adair,5GF GREENFIELD,Steyer,expression_1,0
Adair,5GF GREENFIELD,Steyer,expression_2,0
Adair,5GF GREENFIELD,Steyer,sde,0
Adair,5GF GREENFIELD,Uncommitted,expression_1,0
Adair,5GF GREENFIELD,Uncommitted,expression_2,0
Adair,5GF GREENFIELD,Uncommitted,sde,0
Adair,5GF GREENFIELD,Warren,expression_1,6
Adair,5GF GREENFIELD,Warren,expression_2,0
Adair,5GF GREENFIELD,Warren,sde,0
Adair,5GF GREENFIELD,Yang,expression_1,12
Adair,5GF GREENFIELD,Yang,expression_2,13
Adair,5GF GREENFIELD,Yang,sde,0.15690000000000004
Adair,Total,Bennet,expression_1,0
Adair,Total,Bennet,expression_2,0
Adair,Total,Bennet,sde,0
Adair,Total,Biden,expression_1,36
Adair,Total,Biden,expression_2,22
Adair,Total,Biden,sde,0.3922
Adair,Total,Bloomberg,expression_1,0
Adair,Total,Bloomberg,expression_2,0
Adair,Total,Bloomberg,sde,0
Adair,Total,Buttigieg,expression_1,34
Adair,Total,Buttigieg,expression_2,41
Adair,Total,Buttigieg,sde,0.7059
Adair,Total,Delaney,expression_1,0
Adair,Total,Delaney,expression_2,0
Adair,Total,Delaney,sde,0
Adair,Total,Gabbard,expression_1,0
Adair,Total,Gabbard,expression_2,0
Adair,Total,Gabbard,sde,0
Adair,Total,Klobuchar,expression_1,50
Adair,Total,Klobuchar,expression_2,56
Adair,Total,Klobuchar,sde,0.8629000000000001
Adair,Total,Other,expression_1,0
Adair,Total,Other,expression_2,0
Adair,Total,Other,sde,0
Adair,Total,Patrick,expression_1,0
Adair,Total,Patrick,expression_2,0
Adair,Total,Patrick,sde,0
Adair,Total,Sanders,expression_1,45
Adair,Total,Sanders,expression_2,53
Adair,Total,Sanders,sde,0.9412
Adair,Total,Steyer,expression_1,8
Adair,Total,Steyer,expression_2,7
Adair,Total,Steyer,sde,0.15690000000000004
Adair,Total,Uncommitted,expression_1,0
Adair,Total,Uncommitted,expression_2,0
Adair,Total,Uncommitted,sde,0
Adair,Total,Warren,expression_1,28
Adair,Total,Warren,expression_2,18
Adair,Total,Warren,sde,0.3922
Adair,Total,Yang,expression_1,28
Adair,Total,Yang,expression_2,29
Adair,Total,Yang,sde,0.5491
Adair,Total_recalc,Bennet,expression_1,0
Adair,Total_recalc,Bennet,expression_2,0
Adair,Total_recalc,Bennet,sde,0
Adair,Total_recalc,Biden,expression_1,36
Adair,Total_recalc,Biden,expression_2,22
Adair,Total_recalc,Biden,sde,0.3922000000000001
Adair,Total_recalc,Bloomberg,expression_1,0
Adair,Total_recalc,Bloomberg,expression_2,0
Adair,Total_recalc,Bloomberg,sde,0
Adair,Total_recalc,Buttigieg,expression_1,34
Adair,Total_recalc,Buttigieg,expression_2,41
Adair,Total_recalc,Buttigieg,sde,0.7059000000000001
Adair,Total_recalc,Delaney,expression_1,0
Adair,Total_recalc,Delaney,expression_2,0
Adair,Total_recalc,Delaney,sde,0
Adair,Total_recalc,Gabbard,expression_1,0
Adair,Total_recalc,Gabbard,expression_2,0
Adair,Total_recalc,Gabbard,sde,0
Adair,Total_recalc,Klobuchar,expression_1,50
Adair,Total_recalc,Klobuchar,expression_2,56
Adair,Total_recalc,Klobuchar,sde,0.8629000000000001
Adair,Total_recalc,Other,expression_1,0
Adair,Total_recalc,Other,expression_2,0
Adair,Total_recalc,Other,sde,0
Adair,Total_recalc,Patrick,expression_1,0
Adair,Total_recalc,Patrick,expression_2,0
Adair,Total_recalc,Patrick,sde,0
Adair,Total_recalc,Sanders,expression_1,45
Adair,Total_recalc,Sanders,expression_2,53
Adair,Total_recalc,Sanders,sde,0.9412
Adair,Total_recalc,Steyer,expression_1,8
Adair,Total_recalc,Steyer,expression_2,7
Adair,Total_recalc,Steyer,sde,0.15690000000000004
Adair,Total_recalc,Uncommitted,expression_1,0
Adair,Total_recalc,Uncommitted,expression_2,0
Adair,Total_recalc,Uncommitted,sde,0
Adair,Total_recalc,Warren,expression_1,28
Adair,Total_recalc,Warren,expression_2,18
Adair,Total_recalc,Warren,sde,0.39220000000000005
Adair,Total_recalc,Yang,expression_1,28
Adair,Total_recalc,Yang,expression_2,29
Adair,Total_recalc,Yang,sde,0.5491
Adams,Adams 1,Bennet,expression_1,0
Adams,Adams 1,Bennet,expression_2,0
Adams,Adams 1,Bennet,sde,0
Adams,Adams 1,Biden,expression_1,5
Adams,Adams 1,Biden,expression_2,5
Adams,Adams 1,Biden,sde,0.08570000000000001
Adams,Adams 1,Bloomberg,expression_1,0
Adams,Adams 1,Bloomberg,expression_2,0
Adams,Adams 1,Bloomberg,sde,0
Adams,Adams 1,Buttigieg,expression_1,7
Adams,Adams 1,Buttigieg,expression_2,7
Adams,Adams 1,Buttigieg,sde,0.17140000000000002
Adams,Adams 1,Delaney,expression_1,0
Adams,Adams 1,Delaney,expression_2,0
Adams,Adams 1,Delaney,sde,0
Adams,Adams 1,Gabbard,expression_1,0
Adams,Adams 1,Gabbard,expression_2,0
Adams,Adams 1,Gabbard,sde,0
Adams,Adams 1,Klobuchar,expression_1,5
Adams,Adams 1,Klobuchar,expression_2,5
Adams,Adams 1,Klobuchar,sde,0.17140000000000002
Adams,Adams 1,Other,expression_1,0
Adams,Adams 1,Other,expression_2,0
Adams,Adams 1,Other,sde,0
Adams,Adams 1,Patrick,expression_1,0
Adams,Adams 1,Patrick,expression_2,0
Adams,Adams 1,Patrick,sde,0
Adams,Adams 1,Sanders,expression_1,7
Adams,Adams 1,Sanders,expression_2,7
Adams,Adams 1,Sanders,sde,0.17140000000000002
Adams,Adams 1,Steyer,expression_1,0
Adams,Adams 1,Steyer,expression_2,0
Adams,Adams 1,Steyer,sde,0
Adams,Adams 1,Uncommitted,expression_1,0
Adams,Adams 1,Uncommitted,expression_2,0
Adams,Adams 1,Uncommitted,sde,0
Adams,Adams 1,Warren,expression_1,5
Adams,Adams 1,Warren,expression_2,5
Adams,Adams 1,Warren,sde,0.08570000000000001
Adams,Adams 1,Yang,expression_1,0
Adams,Adams 1,Yang,expression_2,0
Adams,Adams 1,Yang,sde,0
Adams,Adams 2,Bennet,expression_1,0
Adams,Adams 2,Bennet,expression_2,0
Adams,Adams 2,Bennet,sde,0
Adams,Adams 2,Biden,expression_1,4
Adams,Adams 2,Biden,expression_2,4
Adams,Adams 2,Biden,sde,0.08570000000000001
Adams,Adams 2,Bloomberg,expression_1,0
Adams,Adams 2,Bloomberg,expression_2,0
Adams,Adams 2,Bloomberg,sde,0
Adams,Adams 2,Buttigieg,expression_1,3
Adams,Adams 2,Buttigieg,expression_2,3
Adams,Adams 2,Buttigieg,sde,0.08570000000000001
Adams,Adams 2,Delaney,expression_1,0
Adams,Adams 2,Delaney,expression_2,0
Adams,Adams 2,Delaney,sde,0
Adams,Adams 2,Gabbard,expression_1,0
Adams,Adams 2,Gabbard,expression_2,0
Adams,Adams 2,Gabbard,sde,0
Adams,Adams 2,Klobuchar,expression_1,5
Adams,Adams 2,Klobuchar,expression_2,5
Adams,Adams 2,Klobuchar,sde,0.17140000000000002
Adams,Adams 2,Other,expression_1,0
Adams,Adams 2,Other,expression_2,0
Adams,Adams 2,Other,sde,0
Adams,Adams 2,Patrick,expression_1,0
Adams,Adams 2,Patrick,expression_2,0
Adams,Adams 2,Patrick,sde,0
Adams,Adams 2,Sanders,expression_1,4
Adams,Adams 2,Sanders,expression_2,4
Adams,Adams 2,Sanders,sde,0.08570000000000001
Adams,Adams 2,Steyer,expression_1,0
Adams,Adams 2,Steyer,expression_2,0
Adams,Adams 2,Steyer,sde,0
Adams,Adams 2,Uncommitted,expression_1,0
Adams,Adams 2,Uncommitted,expression_2,0
Adams,Adams 2,Uncommitted,sde,0
Adams,Adams 2,Warren,expression_1,5
Adams,Adams 2,Warren,expression_2,5
Adams,Adams 2,Warren,sde,0.17140000000000002
Adams,Adams 2,Yang,expression_1,0
Adams,Adams 2,Yang,expression_2,0
Adams,Adams 2,Yang,sde,0
Adams,Adams 3,Bennet,expression_1,0
Adams,Adams 3,Bennet,expression_2,0
Adams,Adams 3,Bennet,sde,0
Adams,Adams 3,Biden,expression_1,11
Adams,Adams 3,Biden,expression_2,12
Adams,Adams 3,Biden,sde,0.3429
Adams,Adams 3,Bloomberg,expression_1,0
Adams,Adams 3,Bloomberg,expression_2,0
Adams,Adams 3,Bloomberg,sde,0
Adams,Adams 3,Buttigieg,expression_1,0
Adams,Adams 3,Buttigieg,expression_2,0
Adams,Adams 3,Buttigieg,sde,0
Adams,Adams 3,Delaney,expression_1,0
Adams,Adams 3,Delaney,expression_2,0
Adams,Adams 3,Delaney,sde,0
Adams,Adams 3,Gabbard,expression_1,0
Adams,Adams 3,Gabbard,expression_2,0
Adams,Adams 3,Gabbard,sde,0
Adams,Adams 3,Klobuchar,expression_1,6
Adams,Adams 3,Klobuchar,expression_2,7
Adams,Adams 3,Klobuchar,sde,0.17140000000000002
Adams,Adams 3,Other,expression_1,0
Adams,Adams 3,Other,expression_2,0
Adams,Adams 3,Other,sde,0
Adams,Adams 3,Patrick,expression_1,0
Adams,Adams 3,Patrick,expression_2,0
Adams,Adams 3,Patrick,sde,0
Adams,Adams 3,Sanders,expression_1,5
Adams,Adams 3,Sanders,expression_2,5
Adams,Adams 3,Sanders,sde,0.17140000000000002
Adams,Adams 3,Steyer,expression_1,0
Adams,Adams 3,Steyer,expression_2,0
Adams,Adams 3,Steyer,sde,0
Adams,Adams 3,Uncommitted,expression_1,0
Adams,Adams 3,Uncommitted,expression_2,0
Adams,Adams 3,Uncommitted,sde,0
Adams,Adams 3,Warren,expression_1,3
Adams,Adams 3,Warren,expression_2,0
Adams,Adams 3,Warren,sde,0
Adams,Adams 3,Yang,expression_1,0
Adams,Adams 3,Yang,expression_2,0
Adams,Adams 3,Yang,sde,0
Adams,Adams 4,Bennet,expression_1,0
Adams,Adams 4,Bennet,expression_2,0
Adams,Adams 4,Bennet,sde,0
Adams,Adams 4,Biden,expression_1,6
Adams,Adams 4,Biden,expression_2,6
Adams,Adams 4,Biden,sde,0.17140000000000002
Adams,Adams 4,Bloomberg,expression_1,0
Adams,Adams 4,Bloomberg,expression_2,0
Adams,Adams 4,Bloomberg,sde,0
Adams,Adams 4,Buttigieg,expression_1,3
Adams,Adams 4,Buttigieg,expression_2,3
Adams,Adams 4,Buttigieg,sde,0.08570000000000001
Adams,Adams 4,Delaney,expression_1,0
Adams,Adams 4,Delaney,expression_2,0
Adams,Adams 4,Delaney,sde,0
Adams,Adams 4,Gabbard,expression_1,0
Adams,Adams 4,Gabbard,expression_2,0
Adams,Adams 4,Gabbard,sde,0
Adams,Adams 4,Klobuchar,expression_1,4
Adams,Adams 4,Klobuchar,expression_2,4
Adams,Adams 4,Klobuchar,sde,0.17140000000000002
Adams,Adams 4,Other,expression_1,0
Adams,Adams 4,Other,expression_2,0
Adams,Adams 4,Other,sde,0
Adams,Adams 4,Patrick,expression_1,0
Adams,Adams 4,Patrick,expression_2,0
Adams,Adams 4,Patrick,sde,0
Adams,Adams 4,Sanders,expression_1,2
Adams,Adams 4,Sanders,expression_2,0
Adams,Adams 4,Sanders,sde,0
Adams,Adams 4,Steyer,expression_1,0
Adams,Adams 4,Steyer,expression_2,0
Adams,Adams 4,Steyer,sde,0
Adams,Adams 4,Uncommitted,expression_1,0
Adams,Adams 4,Uncommitted,expression_2,0
Adams,Adams 4,Uncommitted,sde,0
Adams,Adams 4,Warren,expression_1,3
Adams,Adams 4,Warren,expression_2,5
Adams,Adams 4,Warren,sde,0.17140000000000002
Adams,Adams 4,Yang,expression_1,0
Adams,Adams 4,Yang,expression_2,0
Adams,Adams 4,Yang,sde,0
Adams,Adams 5,Bennet,expression_1,0
Adams,Adams 5,Bennet,expression_2,0
Adams,Adams 5,Bennet,sde,0
Adams,Adams 5,Biden,expression_1,4
Adams,Adams 5,Biden,expression_2,4
Adams,Adams 5,Biden,sde,0.08570000000000001
Adams,Adams 5,Bloomberg,expression_1,0
Adams,Adams 5,Bloomberg,expression_2,0
Adams,Adams 5,Bloomberg,sde,0
Adams,Adams 5,Buttigieg,expression_1,5
Adams,Adams 5,Buttigieg,expression_2,5
Adams,Adams 5,Buttigieg,sde,0.17140000000000002
Adams,Adams 5,Delaney,expression_1,0
Adams,Adams 5,Delaney,expression_2,0
Adams,Adams 5,Delaney,sde,0
Adams,Adams 5,Gabbard,expression_1,0
Adams,Adams 5,Gabbard,expression_2,0
Adams,Adams 5,Gabbard,sde,0
Adams,Adams 5,Klobuchar,expression_1,3
Adams,Adams 5,Klobuchar,expression_2,3
Adams,Adams 5,Klobuchar,sde,0.08570000000000001
Adams,Adams 5,Other,expression_1,0
Adams,Adams 5,Other,expression_2,0
Adams,Adams 5,Other,sde,0
Adams,Adams 5,Patrick,expression_1,0
Adams,Adams 5,Patrick,expression_2,0
Adams,Adams 5,Patrick,sde,0
Adams,Adams 5,Sanders,expression_1,3
Adams,Adams 5,Sanders,expression_2,3
Adams,Adams 5,Sanders,sde,0.08570000000000001
Adams,Adams 5,Steyer,expression_1,0
Adams,Adams 5,Steyer,expression_2,0
Adams,Adams 5,Steyer,sde,0
Adams,Adams 5,Uncommitted,expression_1,0
Adams,Adams 5,Uncommitted,expression_2,0
Adams,Adams 5,Uncommitted,sde,0
Adams,Adams 5,Warren,expression_1,0
Adams,Adams 5,Warren,expression_2,0
Adams,Adams 5,Warren,sde,0
Adams,Adams 5,Yang,expression_1,0
Adams,Adams 5,Yang,expression_2,0
Adams,Adams 5,Yang,sde,0
Adams,Total,Bennet,expression_1,0
Adams,Total,Bennet,expression_2,0
Adams,Total,Bennet,sde,0
Adams,Total,Biden,expression_1,30
Adams,Total,Biden,expression_2,31
Adams,Total,Biden,sde,0.7714
Adams,Total,Bloomberg,expression_1,0
Adams,Total,Bloomberg,expression_2,0
Adams,Total,Bloomberg,sde,0
Adams,Total,Buttigieg,expression_1,18
Adams,Total,Buttigieg,expression_2,18
Adams,Total,Buttigieg,sde,0.5142
Adams,Total,Delaney,expression_1,0
Adams,Total,Delaney,expression_2,0
Adams,Total,Delaney,sde,0
Adams,Total,Gabbard,expression_1,0
Adams,Total,Gabbard,expression_2,0
Adams,Total,Gabbard,sde,0
Adams,Total,Klobuchar,expression_1,23
Adams,Total,Klobuchar,expression_2,24
Adams,Total,Klobuchar,sde,0.7713
Adams,Total,Other,expression_1,0
Adams,Total,Other,expression_2,0
Adams,Total,Other,sde,0
Adams,Total,Patrick,expression_1,0
Adams,Total,Patrick,expression_2,0
Adams,Total,Patrick,sde,0
Adams,Total,Sanders,expression_1,21
Adams,Total,Sanders,expression_2,19
Adams,Total,Sanders,sde,0.5142
Adams,Total,Steyer,expression_1,0
Adams,Total,Steyer,expression_2,0
Adams,Total,Steyer,sde,0
Adams,Total,Uncommitted,expression_1,0
Adams,Total,Uncommitted,expression_2,0
Adams,Total,Uncommitted,sde,0
Adams,Total,Warren,expression_1,16
Adams,Total,Warren,expression_2,15
Adams,Total,Warren,sde,0.42850000000000005
Adams,Total,Yang,expression_1,0
Adams,Total,Yang,expression_2,0
Adams,Total,Yang,sde,0
Adams,Total_recalc,Bennet,expression_1,0
Adams,Total_recalc,Bennet,expression_2,0
Adams,Total_recalc,Bennet,sde,0
Adams,Total_recalc,Biden,expression_1,30
Adams,Total_recalc,Biden,expression_2,31
Adams,Total_recalc,Biden,sde,0.7714000000000001
Adams,Total_recalc,Bloomberg,expression_1,0
Adams,Total_recalc,Bloomberg,expression_2,0
Adams,Total_recalc,Bloomberg,sde,0
Adams,Total_recalc,Buttigieg,expression_1,18
Adams,Total_recalc,Buttigieg,expression_2,18
Adams,Total_recalc,Buttigieg,sde,0.5142000000000001
Adams,Total_recalc,Delaney,expression_1,0
Adams,Total_recalc,Delaney,expression_2,0
Adams,Total_recalc,Delaney,sde,0
Adams,Total_recalc,Gabbard,expression_1,0
Adams,Total_recalc,Gabbard,expression_2,0
Adams,Total_recalc,Gabbard,sde,0
Adams,Total_recalc,Klobuchar,expression_1,23
Adams,Total_recalc,Klobuchar,expression_2,24
Adams,Total_recalc,Klobuchar,sde,0.7713000000000001
Adams,Total_recalc,Other,expression_1,0
Adams,Total_recalc,Other,expression_2,0
Adams,Total_recalc,Other,sde,0
Adams,Total_recalc,Patrick,expression_1,0
Adams,Total_recalc,Patrick,expression_2,0
Adams,Total_recalc,Patrick,sde,0
Adams,Total_recalc,Sanders,expression_1,21
Adams,Total_recalc,Sanders,expression_2,19
Adams,Total_recalc,Sanders,sde,0.5142000000000001
Adams,Total_recalc,Steyer,expression_1,0
Adams,Total_recalc,Steyer,expression_2,0
Adams,Total_recalc,Steyer,sde,0
Adams,Total_recalc,Uncommitted,expression_1,0
Adams,Total_recalc,Uncommitted,expression_2,0
Adams,Total_recalc,Uncommitted,sde,0
Adams,Total_recalc,Warren,expression_1,16
Adams,Total_recalc,Warren,expression_2,15
Adams,Total_recalc,Warren,sde,0.42850000000000005
Adams,Total_recalc,Yang,expression_1,0
Adams,Total_recalc,Yang,expression_2,0
Adams,Total_recalc,Yang,sde,0
Allamakee,Pct 01 - WL/HV,Bennet,expression_1,0
Allamakee,Pct 01 - WL/HV,Bennet,expression_2,0
Allamakee,Pct 01 - WL/HV,Bennet,sde,0
Allamakee,Pct 01 - WL/HV,Biden,expression_1,1
Allamakee,Pct 01 - WL/HV,Biden,expression_2,0
Allamakee,Pct 01 - WL/HV,Biden,sde,0
Allamakee,Pct 01 - WL/HV,Bloomberg,expression_1,0
Allamakee,Pct 01 - WL/HV,Bloomberg,expression_2,0
Allamakee,Pct 01 - WL/HV,Bloomberg,sde,0
Allamakee,Pct 01 - WL/HV,Buttigieg,expression_1,4
